German,English
ich,I
sie,she
das,the
ist,is
du,you
nicht,not
die,the
es,it
und,and
der,the
wir,weather
was,What
zu,to
er,he
ein,a
in,in
ja,Yes
mir,me
mit,with
wie,how
den,the
mich,me
auf,on
dass,that
aber,but
eine,one
so,so
hat,Has
hier,here
haben,to have
für,for
sind,are
war,was
von,from
wenn,if
dich,you
ihr,your
nein,no
habe,have
an,at
bin,am
noch,still
nur,only
da,there
dir,to you
sich,themselves
einen,a
uns,US
hast,have
dem,to the
kann,can
gut,Well
auch,even
schon,beautiful
als,as
sein,be
mal,times
jetzt,now
ihn,him
dann,then
aus,the end
meine,my
um,around
im,in the
wird,will
mein,my
bist,are you
doch,but
alles,All
weiß,White
keine,no
oder,or
nach,after
s,s
nichts,nothing
man,you
muss,got to
werden,will
will,want
ihnen,them
geht,goes
wo,Where
etwas,some
oh,Oh
mehr,more
bei,at
also,so
bitte,You're welcome
immer,always
hab,have
warum,why
vor,before
los,Come on
können,can
wieder,again
sagen,to say
machen,do
danke,thanks
sehr,very
alle,Everyone